Last Name,First Name,Second Contestant Last Name,Second Contestant First Name,Season,Days Participating,Medically Evacuated,Average Temperature of Hometown (based on September) °c,Average Temperature of Show (based on September) °c,Knife,Multi-Tool,Sharpening Stone,Duct Tape/Electrical Tape,Shovel,Sewing Kit,Carabiner,LED Flashlight,Ice Spikes,Axe,Saw,Hatchet,"Auger, Scotch Eyed",Beef Jerky,Dried snack mix,Biltong,Hardtack Biscuits,Chocolate,Pemmican,Emergency Rations,Trail Mix,Flour,Salt,Rice/Sugar/Salt,Pot,Frying Pan,Flint and Steel/Ferro Rod,Canteen,Bear Canister,Bowl,Spoon,Lighter,Bivvy Bag,Hammock,Sleeping Pad,Sleeping Bag,Paracord,Tarp,Rope,Fishing Line + Hooks,Wood Bow and Arrows,Trapping Wire,Gauge Gill Net,Net Foraging Bag,Slingshot,Soap Bar,Comb,Towel,Toothpaste,Floss,Shower Soap,Razor
Dust,Donny,null,null,6,8,Yes,14,3,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Jonas,Jordan,null,null,6,77,No,19,3,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Karcher,Barry,null,null,6,69,Yes,16,3,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Livingston,Ray,null,null,6,19,No,18,3,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Nicholls,Brady,null,null,6,32,No,26,3,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Double,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
Thibeault,Woniya,null,null,6,73,No,19,3,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Schyndel,Nikki Van,null,null,6,52,Yes,16,3,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Wohlberg,Michelle,null,null,6,48,Yes,9,3,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
D'Ambrosio,Mark,null,null,7,44,No,18,3,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Hawk,Correy,null,null,7,12,Yes,21,3,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Helton,Shawn,null,null,7,10,No,21,3,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Marrone,Kielyn,null,null,7,80,No,14,3,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
Russell,Callie,null,null,7,89,Yes,13,3,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Nicholas,Joe,null,null,7,44,No,24,3,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
